2024-06-26 16:06:894 INFO  HomePage :110 - click on find job [[ChromeDriver: chrome on windows (d9f65f57a14f87944e4d07b6b667ce21)] -> xpath: //input[@id='hp-search-btn']]
2024-06-26 16:06:948 INFO  ManageBrowser :32 - Chrome Browser Launch.....
2024-06-26 16:06:744 INFO  HomePage :57 - Enter job titleCustomer Assistant
2024-06-26 16:06:945 INFO  HomePage :63 - Enter locationHayes
2024-06-26 16:06:343 INFO  HomePage :69 - Enter location[[ChromeDriver: chrome on windows (694db629cadbb1b203efc49971064a9c)] -> xpath: //select[@id='distance']]
2024-06-26 16:06:653 INFO  HomePage :74 - click on more option [[ChromeDriver: chrome on windows (694db629cadbb1b203efc49971064a9c)] -> xpath: //button[@id='toggle-hp-search']]
2024-06-26 16:06:123 INFO  HomePage :82 - Salary minimum[[ChromeDriver: chrome on windows (694db629cadbb1b203efc49971064a9c)] -> xpath: //input[@id='salarymin']]
2024-06-26 16:06:399 INFO  HomePage :89 - salary max [[ChromeDriver: chrome on windows (694db629cadbb1b203efc49971064a9c)] -> xpath: //input[@id='salarymax']]
2024-06-26 16:06:805 INFO  HomePage :97 - salary type dropdown [[ChromeDriver: chrome on windows (694db629cadbb1b203efc49971064a9c)] -> xpath: //select[@id='salarytype']]
2024-06-26 16:06:496 INFO  HomePage :104 - select job type dropdown[[ChromeDriver: chrome on windows (694db629cadbb1b203efc49971064a9c)] -> xpath: //select[@id='tempperm']]
2024-06-26 16:06:791 INFO  HomePage :110 - click on find job [[ChromeDriver: chrome on windows (694db629cadbb1b203efc49971064a9c)] -> xpath: //input[@id='hp-search-btn']]
2024-06-26 16:06:46 INFO  ManageBrowser :32 - Chrome Browser Launch.....
2024-06-26 16:06:516 INFO  ManageBrowser :32 - Chrome Browser Launch.....
2024-06-26 16:06:778 INFO  HomePage :57 - Enter job titleTester
2024-06-26 16:06:194 INFO  HomePage :63 - Enter locationHarrow
2024-06-26 16:06:721 INFO  HomePage :69 - Enter location[[ChromeDriver: chrome on windows (2e3de772c602f24679c795c83b6447d2)] -> xpath: //select[@id='distance']]
2024-06-26 16:06:124 INFO  HomePage :74 - click on more option [[ChromeDriver: chrome on windows (2e3de772c602f24679c795c83b6447d2)] -> xpath: //button[@id='toggle-hp-search']]
2024-06-26 16:06:837 INFO  HomePage :82 - Salary minimum[[ChromeDriver: chrome on windows (2e3de772c602f24679c795c83b6447d2)] -> xpath: //input[@id='salarymin']]
2024-06-26 16:06:175 INFO  HomePage :89 - salary max [[ChromeDriver: chrome on windows (2e3de772c602f24679c795c83b6447d2)] -> xpath: //input[@id='salarymax']]
2024-06-26 16:06:671 INFO  HomePage :97 - salary type dropdown [[ChromeDriver: chrome on windows (2e3de772c602f24679c795c83b6447d2)] -> xpath: //select[@id='salarytype']]
